year,ppi,isic4,output_IV,Z_input,apparent_consumption,change_IP,ls_pre_filled,HHI_dom,d_inv_mu_j,n_firms,dom_j,within_inv_mu,between_inv_mu,entry_inv_mu,exit_inv_mu
2009,162.96584,1010,,,,,.50956881,.092477076,,18,454300768,0,0,0,0
2010,192.2825,1010,,,,,.50956881,.16034503,.2580865688679895,24,467657056,.0185867417339081,.1746113672014703,.0823324410968209,.0174439811642097
2011,201.26167,1010,-.000051945008,.0000992702657525,7526603.5,,.50956881,.13990577,.037128238786811,32,540556672,.0233700974137321,-.0871528370901387,.4471009237218542,.3461899452586367
2012,224.49249,1010,.000037762056,-1.82073472857e-06,8062849.5,-.00025143847,.50956881,.12429538,-.005631274243785,34,655645248,-.0039419099184307,-.0870978926966114,.2060105746468084,.1206020462755512
2013,238.495,1010,-.000020820778,-.0000985948897565,8147078.5,.000013901961,.50956881,.17388798,.0074367633005072,31,416806592,.0090592589326177,.1808898945187226,.0699529436751661,.2524653338259991
2014,274.37833,1010,-.000026832036,.0001223499649314,8082363,.000018674378,.50956881,.12826723,-.0233359709521243,34,535848512,.0106782939697469,-.1458881911387874,.1158209010620053,.0039469748450892
2015,291.05084,1010,-.00003126033,.0000372025390005,7142118.5,-.000039051556,.50956881,.14569837,-.0034915351343383,31,531520608,-.028856286150827,.0439387180702333,.0287635552359269,.0473375222896715
2016,308.12833,1010,-.000022927674,.0000186859766913,6973377,.000021378431,.50956881,.16037039,-.2223366036980385,32,412427520,-.0019026741968519,.1421209458743428,.0563055865612218,.4188604619367513
2017,346.35583,1010,.00001656906,-.0000257519553486,7255778,-.000014502842,.50956881,.29297942,.1365754911920168,36,454183456,.0156786084559794,.1033923125356734,.0239681463209252,.0064635761205611
2018,380.57501,1010,.000014056211,-.0000146679471698,6774740.5,-8.0859081e-06,.50956881,.21921261,.1031789118062252,36,355014304,.0911347756016049,-.1110373213469196,.1886555112286229,.065574053677083
2019,442.18417,1010,7.2952537e-07,.0000988163690252,6490308,.000016720431,.50956881,.14016813,-.0522674872222538,33,222970288,-.006157026768867,-.0517012115723268,.0463827166456784,.0407919655267385
2020,475.71085,1010,,,,,.50956881,.14518976,.0286692738846813,33,211331344,.0385734870378141,-.1858549709178365,.2266544902242487,.0507037324595448
2021,700.66833,1010,,,,,.50956881,.14721821,-.0760082794574654,25,81645248,-.3957125396963718,.5350902145645816,0,.2153859543256753
2022,1549.3208,1010,,,,,.50956881,.087458029,-.2475274255465948,16,46880964,-.0005594966018406,-.1877624816757828,0,.0592054472689716
2009,162.96584,1020,,,,,.45122012,1,,1,1272659.4,0,0,0,0
2010,175.61417,1020,,,,,.45122012,.74229956,-.1519485828291525,3,14493706,.0292052486093736,-.7717245646539905,.5905707332154644,0
2011,191.13499,1020,.0013561246,.0000992702657525,753880.81,,.45122012,.52999693,.0279985528704804,5,13181863,.0021906613662411,.01375560730626,.0120522841979792,0
2012,207.81,1020,-.00018695217,-1.82073472857e-06,696592.13,.00014136825,.45122012,.63888621,.179781514898481,7,11862847,.0340380208218878,-.1373861661031484,.7506180426889465,.4674883825092048
2013,220.1575,1020,-.00064006471,-.0000985948897565,840588.38,-.0029915893,.45122012,.53643698,.0235180149175386,6,10789942,.0033693528658284,.0630481453450201,.0279768635133603,.0708763468066703
2014,112.91666,1020,-.00029639623,.0001223499649314,856489.69,.0019673309,.45122012,.53117931,-.0013630667071329,6,25699522,-.0004775093779916,-.0008855573291412,0,0
2015,130.67583,1020,.00013215453,.0000372025390005,952745,.000074575655,.45122012,.53609294,.0094693496367622,4,21209848,.0084226665818014,.0035194832414163,0,.0024728001864556
2016,136.4675,1020,.000026512582,.0000186859766913,921692.94,-.0021286695,.45122012,.48202667,.0005458847459321,4,18373404,.0076903269515005,-.0071444422055683,0,0
2017,151.255,1020,.000032697113,-.0000257519553486,992401.25,.0013982099,.45122012,.50599349,.0083458418134787,5,18833954,-.0024351984236067,.0056909159912679,.0050901242458176,0
2018,189.98917,1020,-.000017773946,-.0000146679471698,1126153.6,-.00044175843,.45122012,.42550656,-.0402470582136266,5,13774905,-.0378100344308461,-.0024370237827807,0,0
2019,230.91083,1020,.00018028441,.0000988163690252,1166392.8,.0014718571,.45122012,.046621967,-.580571719570709,4,5049711,.0187615601583404,-.0727889166061217,0,.5265443631229277
2020,276.29501,1020,,,,,.45122012,.54677558,.4893017943176954,4,1877423.3,-.0143000031000265,.5118314103105073,.0011025515200638,.0093321644128491
2021,700.66833,1020,,,,,.45122012,.44968453,.0721380950803105,3,1249590.4,.0244324465798805,.0488082000204938,0,.0011025515200638
2022,1549.3208,1020,,,,,.45122012,.048598882,-.4874781068745653,5,1396952.5,.0042200342930849,-.6241161454572972,.132418004289647,0
2009,162.96584,1030,,,,,.50890255,.24215333,,40,408241056,0,0,0,0
2010,215.47833,1030,,,,,.50890255,.20037651,.0346556761554752,57,403178720,.0071600245463735,.0215650731756291,.117635928400754,.1117053499672816
2011,259.91251,1030,.00011970285,.0000992702657525,6683256.5,,.50890255,.073638,.0236010401048794,65,214140080,-.003809498610775,.3096204988677155,.0531240348860193,.3353339950380803
2012,268.14417,1030,-1.7977839e-06,-1.82073472857e-06,6083236.5,-.00014828227,.50890255,.18371153,-.0653199386954291,69,358758496,.0107587390313433,-.2702913838692011,.3620106805735911,.1677979744311621
2013,273.31332,1030,-.00011156109,-.0000985948897565,6763317,.00053928548,.50890255,.069038056,.016417000102418,86,175733200,.002421367280552,.2670202463999357,.093566378426192,.346590992004262
2014,393.77832,1030,-.000091285787,.0001223499649314,7368129.5,.0002353607,.50890255,.047856398,.0158137214576031,91,211403120,.0037694957388891,-.10437381428181,.2109705829900384,.0945525429895144
2015,543.09418,1030,-.000018174456,.0000372025390005,6496828,.0013172097,.50890255,.064574465,-.1275091503324319,96,190807664,.0022484769465411,-.1307303761104078,.2062957924824096,.2053230436509747
2016,486.34418,1030,.000085380198,.0000186859766913,6674307.5,-.001446631,.50890255,.076643966,-.0585864485587975,92,163669264,-.0055487855590097,.0452392252055373,.0252092375664073,.1234861257717324
2017,499.32501,1030,-.000018458326,-.0000257519553486,6235751.5,.0013053194,.50890255,.075495347,.0555894188137181,92,150938288,.0008248624085525,.0490152673916481,.1262094162497737,.1204601272362563
2018,571.19165,1030,-.000012503062,-.0000146679471698,5514720,-.00057507656,.50890255,.046021156,-.1032375277381892,80,119990936,.0223189894844563,-.1525036421524143,.1120621424172442,.0851150174874751
2019,739.61584,1030,-.000038977763,.0000988163690252,5717393,.0014949639,.50890255,.040803809,-.004042677983025,81,99073632,.002397198663373,.0071884078425218,.0779085775794719,.0915368620683922
2020,860.70166,1030,,,,,.50890255,.037268255,.0486221607452967,74,71341160,-.007285761981558,.0078268906165446,.0958089366294042,.0477279045190938
2021,700.66833,1030,,,,,.50890255,.048937976,.09112926302366,62,80685232,.0013411854474205,.1266985462873619,.023255715619113,.0601661843302358
2022,1549.3208,1030,,,,,.50890255,.041650269,-.1716652953951423,42,42646068,-.0020607814564406,.0948661055955868,.0314277834487235,.2958984029830115
2023,2630.5483,1030,,,,,.50890255,.97352505,-.0268250053072245,2,1061123.4,-.0881590381180431,.604396638100191,0,.5430626052893724
2009,162.96584,1040,,,,,.44992137,.08877077,,14,241779488,0,0,0,0
2010,140.8075,1040,,,,,.44992137,.15249915,.1462994425427624,23,563372672,-.0031869019105917,-.1579453098110191,.3822965920049148,.0748649377405418
2011,163.125,1040,-.00013379224,.0000992702657525,7667605.5,,.44992137,.16437955,-.0109150284737454,29,627511168,-.0020361520564427,.0310312135057372,.0167704073689745,.056680497292014
2012,178.4525,1040,.00011965239,-1.82073472857e-06,8371366.5,.000064265187,.44992137,.14183503,.0061394300833817,37,676385280,.0023634844271302,-.0324363164147199,.0868520430514148,.0506397809804438
2013,178.61084,1040,.000020419071,-.0000985948897565,8207364.5,.000073281641,.44992137,.10332323,.0006875277954583,45,633589632,.0056653641084961,-.1737429494603233,.1731826169369987,.0044175037897131
2014,190.51083,1040,.000046576093,.0001223499649314,7949233.5,-.000089864036,.44992137,.089001715,.0014838125366592,39,817238528,.0041700902543577,-.0646647332962889,.1380977289329823,.0761192733543919
2015,217.94417,1040,-.000013045771,.0000372025390005,6888005,7.7078439e-06,.44992137,.075004965,-.1046096070542598,40,531000608,-.0059938776838584,.1165490024088593,.0735682941814745,.288733025960735
2016,247.565,1040,-2.2299038e-07,.0000186859766913,6808424.5,-.000022615914,.44992137,.066980951,-.0990220483383937,30,350122144,.004112941312335,.1019239191050213,.0008889717056305,.2059478804613805
2017,287.56,1040,-.000056228902,-.0000257519553486,6204905,.00017438082,.44992137,.069501691,-.0363972700153826,34,331738688,-.0020871362180303,-.1427758999460074,.2904321604070333,.1819663942583785
2018,342.52417,1040,.000034356424,-.0000146679471698,5337550,.0002634144,.44992137,.096659526,.0444310873795221,35,331007360,-.0258662302072769,-.0373835374838128,.2125022642883282,.1048214092177162
2019,396.95749,1040,-.000011549743,.0000988163690252,5759273.5,-.00024770273,.44992137,.074284188,-.0174919111059044,37,302113248,.029331263208295,-.0650158716825045,.0227835941431395,.0045908967748343
2020,507.88916,1040,,,,,.44992137,.066569805,-.0386390337201094,34,257811104,-.0186557123364165,-.0619748319081965,.1009627639454795,.0589712534209758
2021,700.66833,1040,,,,,.44992137,.098597944,.1403615731654531,32,198556480,-.0036135342463185,.1183049507234452,.0715911355322428,.0459209788439167
2022,1549.3208,1040,,,,,.44992137,.11251253,-.0260479721827195,18,122760552,-.0048251026787592,.0936267658356782,0,.1148496353396385
2023,2630.5483,1040,,,,,.44992137,1,-.0202624634410861,1,2171548.3,-.045529592526344,.7727714869650609,0,.7475043578798028
2009,162.96584,1050,,,,,.38546646,.20582625,,23,120355464,0,0,0,0
2010,156.345,1050,,,,,.38546646,.16496702,.0272774161596967,34,213243776,.025903126946115,-.1591475991848523,.1623571039107096,.0018352155122756
