quantile,specification,poly_degree,beta_hat,se,ci_low,ci_high,ci_length,covers_zero,reject_5pct,p_value,poly_p_value,first_stage_F,n_sector_year,n_clusters,backend,replication,mode,theta,true_effect,error_dist
10,uncorrected,0,0.07467626151846081,0.06423961867519598,-0.05123339108492332,0.20058591412184495,0.25181930520676826,True,False,0.2450469294580775,,25.096238093101,18,6,manual,0,independent,0.4,null,normal
20,uncorrected,0,0.05796504631170841,0.05150185020632879,-0.04297858009269601,0.15890867271611284,0.20188725280880884,True,False,0.2603795698711775,,25.096238093101,18,6,manual,0,independent,0.4,null,normal
30,uncorrected,0,0.035294655559212816,0.033116127835797975,-0.029612954998951217,0.10020226611737684,0.12981522111632807,True,False,0.2865210717715132,,25.096238093101,18,6,manual,0,independent,0.4,null,normal
40,uncorrected,0,0.06083019264796827,0.02787839915701089,0.006188530300226924,0.11547185499570961,0.10928332469548269,False,True,0.029110788411958133,,25.096238093101,18,6,manual,0,independent,0.4,null,normal
50,uncorrected,0,-0.014210613001269665,0.02128654660313558,-0.0559322443434154,0.027511018340876072,0.08344326268429147,True,False,0.5043975217671108,,25.096238093101,18,6,manual,0,independent,0.4,null,normal
60,uncorrected,0,-0.015338237110020733,0.01603754944152124,-0.046771834015402365,0.0160953597953609,0.06286719381076326,True,False,0.3388725520518785,,25.096238093101,18,6,manual,0,independent,0.4,null,normal
70,uncorrected,0,0.030901557033142853,0.0799325092245885,-0.1257661610470506,0.1875692751133363,0.3133354361603869,True,False,0.6990556096472795,,25.096238093101,18,6,manual,0,independent,0.4,null,normal
80,uncorrected,0,0.021194109506827492,0.08542299156454135,-0.14623495395967356,0.18862317297332853,0.3348581269330021,True,False,0.804051009799386,,25.096238093101,18,6,manual,0,independent,0.4,null,normal
90,uncorrected,0,0.01860619902595735,0.0858311677057549,-0.14962288967732223,0.18683528772923697,0.3364581774065592,True,False,0.8283823551658287,,25.096238093101,18,6,manual,0,independent,0.4,null,normal
10,corrected,3,-0.02173490710661283,0.020444776820869752,-0.06180666967551754,0.01833685546229188,0.08014352513780942,True,False,0.287735165753749,0.0,14.010865142576836,18,6,manual,0,independent,0.4,null,normal
20,corrected,3,-0.029404998441812713,0.046961379783869585,-0.1214493028181971,0.06263930593457168,0.18408860875276878,True,False,0.5312147368280944,0.0,14.010865142576836,18,6,manual,0,independent,0.4,null,normal
30,corrected,3,-0.03296804400464157,0.04963416812516239,-0.13025101352995982,0.0643149255206767,0.19456593905063652,True,False,0.5065490395053251,0.0,14.010865142576836,18,6,manual,0,independent,0.4,null,normal
40,corrected,3,-0.017235032155171904,0.039219002991014225,-0.09410427801755979,0.059634213707215986,0.15373849172477577,True,False,0.660331046810837,6.601876667566842e-08,14.010865142576836,18,6,manual,0,independent,0.4,null,normal
50,corrected,3,-0.03708277988969205,0.015831021522393306,-0.06811158207358294,-0.006053977705801173,0.062057604367781766,False,True,0.019159535094071423,0.04116363872004203,14.010865142576836,18,6,manual,0,independent,0.4,null,normal
60,corrected,3,-0.04189997616805348,0.028027109777335933,-0.09683311133163192,0.01303315899552495,0.10986627032715687,True,False,0.13491959115266483,7.565059689795817e-12,14.010865142576836,18,6,manual,0,independent,0.4,null,normal
70,corrected,3,-0.050834387042041566,0.05902324372003218,-0.16651994473330464,0.06485117064922152,0.23137111538252617,True,False,0.3890945982099767,0.19053089292925174,14.010865142576836,18,6,manual,0,independent,0.4,null,normal
80,corrected,3,-0.08930921081622634,0.060418421325139436,-0.20772931661349964,0.02911089498104695,0.2368402115945466,True,False,0.13936000963979245,1.5706000483617366e-05,14.010865142576836,18,6,manual,0,independent,0.4,null,normal
90,corrected,3,-0.0484331336810446,0.04848813452375758,-0.14346987734760946,0.04660360998552025,0.19007348733312973,True,False,0.317859761488021,0.0,14.010865142576836,18,6,manual,0,independent,0.4,null,normal
10,uncorrected,0,0.04802328635363919,0.020891628173177617,0.007075695134211066,0.08897087757306732,0.08189518243885625,False,True,0.021522794701157366,,13.483291184553462,18,6,manual,1,independent,0.4,null,normal
