specification,beta_hat,se,ci_low,ci_high,covers_true,covers_zero,reject_5pct,p_value,n_selected,selection_rate,n_clusters,replication,theta,beta_true
uncorrected,0.5915764674058837,0.03284327241275665,0.5272036534768806,0.6559492813348867,False,False,True,1.5656033562021487e-72,1155,0.4869308600337268,16,0,0.5,0.5
poly3,0.490945905195645,0.027563861685549126,0.4369207362919687,0.5449710740993213,True,False,True,5.783906794821781e-71,1155,0.4869308600337268,16,0,0.5,0.5
poly5,0.4911789464008295,0.027648340491639802,0.4369881990372155,0.5453696937644434,True,False,True,1.3141587245656078e-70,1155,0.4869308600337268,16,0,0.5,0.5
spline6,0.49159079493404256,0.02745963805842544,0.4377699043395287,0.5454116855285565,True,False,True,1.1314228283259535e-71,1155,0.4869308600337268,16,0,0.5,0.5
uncorrected,0.6176814148057356,0.03632905237986711,0.546476472141196,0.6888863574702752,False,False,True,7.88131953049061e-65,1543,0.48968581402729294,16,1,0.5,0.5
poly3,0.48978416879332926,0.029036118037015918,0.43287337744077803,0.5466949601458805,True,False,True,7.723998105146506e-64,1543,0.48968581402729294,16,1,0.5,0.5
poly5,0.4892303074996565,0.029044443463298892,0.4323031983115907,0.5461574166877223,True,False,True,1.1573057076174052e-63,1543,0.48968581402729294,16,1,0.5,0.5
spline6,0.4888430684630416,0.028910577675324123,0.4321783362194063,0.5455078007066769,True,False,True,3.875431883462337e-64,1543,0.48968581402729294,16,1,0.5,0.5
uncorrected,0.5463998352526891,0.032327904308563145,0.48303714280790533,0.6097625276974729,True,False,True,4.363654095489895e-64,1127,0.4870354364736387,16,2,0.5,0.5
poly3,0.4324508158029081,0.026482598442313574,0.3805449228559735,0.4843567087498427,False,False,True,6.075986981515956e-60,1127,0.4870354364736387,16,2,0.5,0.5
poly5,0.43123614243120223,0.025455606731658555,0.38134315323715146,0.481129131625253,False,False,True,2.2537421356626873e-64,1127,0.4870354364736387,16,2,0.5,0.5
spline6,0.4312002633299241,0.02582668893597232,0.38057995301541836,0.4818205736444299,False,False,True,1.403454511009845e-62,1127,0.4870354364736387,16,2,0.5,0.5
uncorrected,0.6600670753231105,0.025889600965295082,0.6093234574311321,0.7108106932150888,False,False,True,2.214023202124202e-143,1266,0.4982290436835891,16,3,0.5,0.5
poly3,0.518759697209466,0.018742028458990895,0.4820253214298439,0.5554940729890882,True,False,True,1.2515117230987157e-168,1266,0.4982290436835891,16,3,0.5,0.5
poly5,0.5176749981763307,0.018912634119969116,0.4806062353011912,0.5547437610514702,True,False,True,5.924273819531471e-165,1266,0.4982290436835891,16,3,0.5,0.5
spline6,0.5181776532679021,0.018921884407541847,0.4810907598291201,0.5552645467066841,True,False,True,4.127338733716736e-165,1266,0.4982290436835891,16,3,0.5,0.5
uncorrected,0.6350354660103483,0.02665432580233993,0.5827929874377621,0.6872779445829346,False,False,True,1.845937517718693e-125,1202,0.49567010309278353,16,4,0.5,0.5
poly3,0.4993727430133271,0.031235903215989295,0.43815037270998813,0.5605951133166661,True,False,True,1.5707986594911632e-57,1202,0.49567010309278353,16,4,0.5,0.5
poly5,0.49979082024079197,0.031076791899818875,0.43888030811714696,0.560701332364437,True,False,True,3.3873746826118396e-58,1202,0.49567010309278353,16,4,0.5,0.5
spline6,0.4994727789993463,0.031292251805083805,0.438139965461382,0.5608055925373105,True,False,True,2.3678488801125138e-57,1202,0.49567010309278353,16,4,0.5,0.5
uncorrected,0.6310665432996345,0.02656295010417456,0.5790031610954524,0.6831299255038167,False,False,True,9.214130807493732e-125,1231,0.4871388998812822,16,5,0.5,0.5
poly3,0.5102699190479663,0.0358758725161484,0.4399532089163154,0.5805866291796171,True,False,True,6.5769594941279665e-46,1231,0.4871388998812822,16,5,0.5,0.5
poly5,0.5108512446899652,0.035696883406994055,0.44088535321225686,0.5808171361676736,True,False,True,1.873241639623968e-46,1231,0.4871388998812822,16,5,0.5,0.5
spline6,0.510447380090034,0.03573354486710093,0.44040963215051615,0.5804851280295518,True,False,True,2.7209813527065082e-46,1231,0.4871388998812822,16,5,0.5,0.5
uncorrected,0.616978760323184,0.02865096886036002,0.5608228613568783,0.6731346592894897,False,False,True,7.429742353709441e-103,1189,0.49686585875470124,16,6,0.5,0.5
poly3,0.5233751053143498,0.019508252659447677,0.4851389301018324,0.5616112805268673,True,False,True,1.5074547817825408e-158,1189,0.49686585875470124,16,6,0.5,0.5
poly5,0.5233402960623452,0.019463831634550684,0.4851911860586259,0.5614894060660646,True,False,True,3.0475772262046363e-159,1189,0.49686585875470124,16,6,0.5,0.5
spline6,0.5228186248307147,0.01932771294694454,0.48493630745470345,0.5607009422067261,True,False,True,3.798165925629785e-161,1189,0.49686585875470124,16,6,0.5,0.5
uncorrected,0.614357997888499,0.027342236577255184,0.5607672141970789,0.6679487815799191,False,False,True,8.308673147729897e-112,1267,0.4752438109527382,16,7,0.5,0.5
poly3,0.50253383291757,0.023193930889633577,0.4570737283738882,0.5479939374612518,True,False,True,4.2384310811709313e-104,1267,0.4752438109527382,16,7,0.5,0.5
poly5,0.5019207930768578,0.02291172586760622,0.4570138103763496,0.546827775777366,True,False,True,2.241494770923509e-106,1267,0.4752438109527382,16,7,0.5,0.5
spline6,0.5016650429446763,0.02270834351538807,0.45715668965451567,0.546173396234837,True,False,True,3.801521093781037e-108,1267,0.4752438109527382,16,7,0.5,0.5
uncorrected,0.6389443368312439,0.03399596250095515,0.5723122503293717,0.705576423333116,False,False,True,8.343124473951959e-79,1204,0.4862681744749596,16,8,0.5,0.5
poly3,0.5252275909643169,0.028013693802828612,0.47032075111077287,0.580134430817861,True,False,True,1.974183349023939e-78,1204,0.4862681744749596,16,8,0.5,0.5
poly5,0.5244230065338785,0.02854070919940793,0.468483216503039,0.580362796564718,True,False,True,2.0999938688292925e-75,1204,0.4862681744749596,16,8,0.5,0.5
spline6,0.5245083880369776,0.02875428839280788,0.4681499827870742,0.5808667932868811,True,False,True,2.437348396054021e-74,1204,0.4862681744749596,16,8,0.5,0.5
uncorrected,0.6567114018580513,0.030215392844307,0.5974892318832096,0.7159335718328931,False,False,True,9.718532598430138e-105,1415,0.4906380027739251,16,9,0.5,0.5
poly3,0.5273421226189319,0.02226707467178354,0.4836986562622361,0.5709855889756276,True,False,True,5.449804117929795e-124,1415,0.4906380027739251,16,9,0.5,0.5
poly5,0.5277999227611511,0.02219274202272751,0.4843021483966051,0.571297697125697,True,False,True,5.062549043886524e-125,1415,0.4906380027739251,16,9,0.5,0.5
spline6,0.5276850712817174,0.02205992443488908,0.4844476193893348,0.5709225231741,True,False,True,1.873090089767285e-126,1415,0.4906380027739251,16,9,0.5,0.5
uncorrected,0.6407489769202049,0.03641321840374241,0.5693790688488698,0.7121188849915401,False,False,True,2.615454314778075e-69,955,0.4739454094292804,16,10,0.5,0.5
poly3,0.5667955835544468,0.02917110452811609,0.5096202186793393,0.6239709484295544,False,False,True,4.300682704848637e-84,955,0.4739454094292804,16,10,0.5,0.5
poly5,0.5728031109977264,0.030955449485587136,0.5121304300059756,0.6334757919894772,False,False,True,1.9130498397141837e-76,955,0.4739454094292804,16,10,0.5,0.5
spline6,0.5726931508632487,0.03133646467940949,0.5112736800916061,0.6341126216348912,False,False,True,1.2942375599061777e-74,955,0.4739454094292804,16,10,0.5,0.5
uncorrected,0.7040971526099787,0.03427628125834142,0.6369156413436295,0.7712786638763279,False,False,True,9.108723139965389e-94,1018,0.5009842519685039,16,11,0.5,0.5
poly3,0.5733199239353698,0.030506814910805362,0.5135265667101913,0.6331132811605483,False,False,True,8.588331764531402e-79,1018,0.5009842519685039,16,11,0.5,0.5
poly5,0.5722884438342387,0.031249286322935676,0.5110398426412848,0.6335370450271927,False,False,True,6.440619060168342e-75,1018,0.5009842519685039,16,11,0.5,0.5
spline6,0.5719302744460588,0.030924955761332164,0.5113173611538477,0.6325431877382699,False,False,True,2.3021053900650152e-76,1018,0.5009842519685039,16,11,0.5,0.5
uncorrected,0.6496612876843376,0.02994686756316188,0.5909654272605404,0.7083571481081349,False,False,True,2.3478221940450476e-104,1000,0.49800796812749004,16,12,0.5,0.5
poly3,0.526232668589846,0.0267896301436325,0.47372499350832625,0.5787403436713656,True,False,True,6.616669781810352e-86,1000,0.49800796812749004,16,12,0.5,0.5
poly5,0.5269057215519619,0.027124653646436188,0.473741400404947,0.5800700426989769,True,False,True,4.712200178752777e-84,1000,0.49800796812749004,16,12,0.5,0.5
spline6,0.5253516084270369,0.027346196128955707,0.4717530640142837,0.57895015283979,True,False,True,2.98634482565672e-82,1000,0.49800796812749004,16,12,0.5,0.5
uncorrected,0.59638914621615,0.029421724535329555,0.5387225661269041,0.654055726305396,False,False,True,2.3489988421785348e-91,1160,0.5041286397218601,16,13,0.5,0.5
poly3,0.5075240552371311,0.02611179228312221,0.4563449423622115,0.5587031681120506,True,False,True,3.785441576534611e-84,1160,0.5041286397218601,16,13,0.5,0.5
poly5,0.5071449126296281,0.025685740807080408,0.45680086064775055,0.5574889646115058,True,False,True,8.994326056625999e-87,1160,0.5041286397218601,16,13,0.5,0.5
spline6,0.5067692050436419,0.02528156334570625,0.45721734088605764,0.5563210692012261,True,False,True,2.231342335132024e-89,1160,0.5041286397218601,16,13,0.5,0.5
uncorrected,0.6085474493675387,0.028885741356002113,0.5519313963097745,0.6651635024253029,False,False,True,1.5839508060162374e-98,1051,0.4929643527204503,16,14,0.5,0.5
poly3,0.49993124847170256,0.028807344769342644,0.443468852723791,0.5563936442196141,True,False,True,1.830236571082059e-67,1051,0.4929643527204503,16,14,0.5,0.5
poly5,0.5004084983224155,0.029552583871405223,0.44248543393446127,0.5583315627103698,True,False,True,2.5774364259229648e-64,1051,0.4929643527204503,16,14,0.5,0.5
spline6,0.5005406809698307,0.02960661751208831,0.44251171064613765,0.5585696512935239,True,False,True,4.037713369057701e-64,1051,0.4929643527204503,16,14,0.5,0.5
uncorrected,0.6619539571090693,0.03382987180651321,0.5956474083683034,0.7282605058498353,False,False,True,2.947454344224671e-85,1210,0.48613901165126555,16,15,0.5,0.5
poly3,0.5583465341835553,0.026473225005470735,0.5064590131728326,0.610234055194278,False,False,True,9.622590680705604e-99,1210,0.48613901165126555,16,15,0.5,0.5
poly5,0.5571792799917366,0.026811193547028548,0.5046293406395606,0.6097292193439126,False,False,True,6.351740462090728e-96,1210,0.48613901165126555,16,15,0.5,0.5
spline6,0.5578589839740777,0.026781909382474548,0.5053664415844277,0.6103515263637278,False,False,True,2.3294331804439393e-96,1210,0.48613901165126555,16,15,0.5,0.5
uncorrected,0.5982700691342018,0.014590820534455682,0.5696720608866687,0.6268680773817349,False,False,True,0.0,1254,0.49604430379746833,16,16,0.5,0.5
poly3,0.5044617844916401,0.018112259954235956,0.4689617549813377,0.5399618140019427,True,False,True,1.020086348505509e-170,1254,0.49604430379746833,16,16,0.5,0.5
poly5,0.5037581216899599,0.018002573302419694,0.4684730780172173,0.5390431653627026,True,False,True,2.64879543986496e-172,1254,0.49604430379746833,16,16,0.5,0.5
spline6,0.503186343433303,0.018333332152504697,0.4672530124143938,0.5391196744522122,True,False,True,7.642906401242818e-166,1254,0.49604430379746833,16,16,0.5,0.5
uncorrected,0.6349162518274258,0.030071206351124542,0.5759766873792217,0.69385581627563,False,False,True,5.944900437859809e-99,1112,0.4766395199314188,16,17,0.5,0.5
poly3,0.5194934118899767,0.023146975942291745,0.47412533904308485,0.5648614847368685,True,False,True,1.4894552030944636e-111,1112,0.4766395199314188,16,17,0.5,0.5
poly5,0.5173996027985586,0.023395035111140872,0.47154533398072246,0.5632538716163946,True,False,True,2.2279135194158318e-108,1112,0.4766395199314188,16,17,0.5,0.5
spline6,0.5188483327226483,0.023274912202171472,0.4732295048063922,0.5644671606389043,True,False,True,4.4012016211474653e-110,1112,0.4766395199314188,16,17,0.5,0.5
uncorrected,0.6151886552853618,0.029378134941543715,0.5576075107999361,0.6727697997707875,False,False,True,2.2972796834412714e-97,1050,0.5016722408026756,16,18,0.5,0.5
poly3,0.5325773247252027,0.021683553777669447,0.4900775593209706,0.5750770901294349,True,False,True,3.2715926786713456e-133,1050,0.5016722408026756,16,18,0.5,0.5
poly5,0.533387831936918,0.02155428655092595,0.4911414302971031,0.5756342335767328,True,False,True,3.402031354724439e-135,1050,0.5016722408026756,16,18,0.5,0.5
spline6,0.5333363216711127,0.021507213745702344,0.49118218272953607,0.5754904606126893,True,False,True,9.416788122608463e-136,1050,0.5016722408026756,16,18,0.5,0.5
uncorrected,0.615148857071401,0.03633338510402214,0.5439354222675176,0.6863622918752844,False,False,True,2.6728189884384162e-64,1070,0.48285198555956677,16,19,0.5,0.5
poly3,0.4974536769831728,0.028115960879462477,0.4423463936594263,0.5525609603069193,True,False,True,4.75395406882306e-70,1070,0.48285198555956677,16,19,0.5,0.5
poly5,0.49826696267862314,0.0291469124463508,0.44113901428377555,0.5553949110734707,True,False,True,1.616490014398554e-65,1070,0.48285198555956677,16,19,0.5,0.5
spline6,0.49765422938783743,0.0294355600821658,0.43996053162679244,0.5553479271488824,True,False,True,4.0249110059282006e-64,1070,0.48285198555956677,16,19,0.5,0.5
