isic4,year,markup_dispersion_wedge,counterfactual_label,scenario
1010,2011,0.021937483318467243,output-competition counterfactuals,observed
1010,2012,0.024056775743179142,output-competition counterfactuals,observed
1010,2013,0.02980002552273031,output-competition counterfactuals,observed
1010,2014,0.01003908543977372,output-competition counterfactuals,observed
1010,2015,0.009255829291270428,output-competition counterfactuals,observed
1010,2016,0.02863879584568016,output-competition counterfactuals,observed
1010,2017,0.008500059402426537,output-competition counterfactuals,observed
1010,2018,0.0017103418536340165,output-competition counterfactuals,observed
1010,2019,0.0010050320812363814,output-competition counterfactuals,observed
1020,2011,0.06932794513329128,output-competition counterfactuals,observed
1020,2012,0.037126195493663514,output-competition counterfactuals,observed
1020,2013,0.004846187528953312,output-competition counterfactuals,observed
1020,2014,0.01991611872088333,output-competition counterfactuals,observed
1020,2017,0.021224611764169,output-competition counterfactuals,observed
1020,2018,0.01820141000351885,output-competition counterfactuals,observed
1030,2011,0.0123157426010118,output-competition counterfactuals,observed
1030,2012,0.02196545018164393,output-competition counterfactuals,observed
1030,2013,0.05234183499907897,output-competition counterfactuals,observed
1030,2014,0.05445289887052444,output-competition counterfactuals,observed
1030,2015,0.053995480450287424,output-competition counterfactuals,observed
1030,2016,0.07325745076570069,output-competition counterfactuals,observed
1030,2017,0.036445496845730535,output-competition counterfactuals,observed
1030,2018,0.02515417349145821,output-competition counterfactuals,observed
1030,2019,0.03153152442283638,output-competition counterfactuals,observed
1040,2011,0.0022640832736359525,output-competition counterfactuals,observed
1040,2012,0.0038953342127747105,output-competition counterfactuals,observed
1040,2013,0.0038366410627674466,output-competition counterfactuals,observed
1040,2014,0.0012086624390785106,output-competition counterfactuals,observed
1040,2015,0.005277870222161864,output-competition counterfactuals,observed
1040,2016,0.008601820019048816,output-competition counterfactuals,observed
1040,2017,0.005909525858903403,output-competition counterfactuals,observed
1040,2018,0.005302876114124917,output-competition counterfactuals,observed
1040,2019,0.011583827126458038,output-competition counterfactuals,observed
1050,2011,0.07471629255610744,output-competition counterfactuals,observed
1050,2012,0.07561930673792121,output-competition counterfactuals,observed
1050,2013,0.161489876998432,output-competition counterfactuals,observed
1050,2014,0.20378881087627745,output-competition counterfactuals,observed
1050,2015,0.10640681065810088,output-competition counterfactuals,observed
1050,2016,0.12912230056399712,output-competition counterfactuals,observed
1050,2017,0.04931209894381609,output-competition counterfactuals,observed
1050,2018,0.03017758306733023,output-competition counterfactuals,observed
1050,2019,0.10782015411066352,output-competition counterfactuals,observed
1061,2011,0.009056482381111937,output-competition counterfactuals,observed
1061,2012,0.010457456728916254,output-competition counterfactuals,observed
1061,2013,0.03187450533093831,output-competition counterfactuals,observed
1061,2014,0.023070065153114157,output-competition counterfactuals,observed
1061,2015,0.017718760658734355,output-competition counterfactuals,observed
1061,2016,0.01804191593071393,output-competition counterfactuals,observed
1061,2017,0.014609307134460976,output-competition counterfactuals,observed
1061,2018,0.01741874608300241,output-competition counterfactuals,observed
1061,2019,0.018859722261098867,output-competition counterfactuals,observed
1062,2011,0.00020458709518395056,output-competition counterfactuals,observed
1062,2012,0.0029856202763068693,output-competition counterfactuals,observed
1062,2013,0.06999060141199841,output-competition counterfactuals,observed
1062,2014,0.039911810238813385,output-competition counterfactuals,observed
1062,2016,0.05984209759384808,output-competition counterfactuals,observed
1062,2017,0.03301156499914626,output-competition counterfactuals,observed
1062,2018,0.018685275679710574,output-competition counterfactuals,observed
1062,2019,0.008418148335827443,output-competition counterfactuals,observed
1071,2011,0.01652810059434709,output-competition counterfactuals,observed
1071,2012,0.2571800745554074,output-competition counterfactuals,observed
1071,2013,0.16973275566029158,output-competition counterfactuals,observed
1071,2014,0.055042771173211096,output-competition counterfactuals,observed
1071,2015,0.0689496084379115,output-competition counterfactuals,observed
1071,2016,0.07813292894086526,output-competition counterfactuals,observed
1071,2017,0.06592202016509859,output-competition counterfactuals,observed
1071,2018,0.12349071558872145,output-competition counterfactuals,observed
1071,2019,0.09731491374736878,output-competition counterfactuals,observed
1072,2016,0.007001946970641695,output-competition counterfactuals,observed
1072,2017,0.00462304965806964,output-competition counterfactuals,observed
1072,2018,0.009745983447821165,output-competition counterfactuals,observed
1072,2019,0.0013652557852201228,output-competition counterfactuals,observed
1073,2011,0.07077270078701485,output-competition counterfactuals,observed
1073,2012,0.09739293502245745,output-competition counterfactuals,observed
1073,2013,0.12889462018271244,output-competition counterfactuals,observed
1073,2014,0.04049686525927618,output-competition counterfactuals,observed
1073,2015,0.05793483073786612,output-competition counterfactuals,observed
1073,2016,0.060499935917782695,output-competition counterfactuals,observed
1073,2017,0.034567618064429116,output-competition counterfactuals,observed
1073,2018,0.05749836798610127,output-competition counterfactuals,observed
1073,2019,0.04873495531629549,output-competition counterfactuals,observed
1079,2011,0.047943053298781256,output-competition counterfactuals,observed
1079,2012,0.06066380802104768,output-competition counterfactuals,observed
1079,2013,0.07761397620792697,output-competition counterfactuals,observed
1079,2014,0.07912164462923116,output-competition counterfactuals,observed
1079,2015,0.07729757732061604,output-competition counterfactuals,observed
1079,2016,0.07096808331633875,output-competition counterfactuals,observed
1079,2017,0.0295693735477586,output-competition counterfactuals,observed
1079,2018,0.0726617492667702,output-competition counterfactuals,observed
1079,2019,0.06750874226984498,output-competition counterfactuals,observed
1080,2011,0.018257133330989453,output-competition counterfactuals,observed
1080,2012,0.022885459615018526,output-competition counterfactuals,observed
1080,2013,0.011425012922326552,output-competition counterfactuals,observed
1080,2014,0.0085477097179747,output-competition counterfactuals,observed
1080,2015,0.010058378424628596,output-competition counterfactuals,observed
1080,2016,0.013338988248183784,output-competition counterfactuals,observed
1080,2017,0.009318931943344393,output-competition counterfactuals,observed
1080,2018,0.017300739724099803,output-competition counterfactuals,observed
1080,2019,0.009113726149679148,output-competition counterfactuals,observed
1103,2011,0.0001514070893562251,output-competition counterfactuals,observed
1103,2014,0.13083398269076457,output-competition counterfactuals,observed
1103,2016,0.040926637588687274,output-competition counterfactuals,observed
1104,2011,0.01220745621445118,output-competition counterfactuals,observed
1104,2012,0.06650940830250485,output-competition counterfactuals,observed
1104,2013,0.12124389176287327,output-competition counterfactuals,observed
1104,2014,0.05383265867403063,output-competition counterfactuals,observed
1104,2015,0.07431960407714006,output-competition counterfactuals,observed
1104,2016,0.04218530905876521,output-competition counterfactuals,observed
1104,2017,0.04816324646683058,output-competition counterfactuals,observed
1104,2018,0.031218400496375386,output-competition counterfactuals,observed
1104,2019,0.0242934459561951,output-competition counterfactuals,observed
1200,2014,0.00023099586667976732,output-competition counterfactuals,observed
1200,2015,0.0067406489885817765,output-competition counterfactuals,observed
1200,2016,0.00132842556849363,output-competition counterfactuals,observed
1200,2017,0.0014670655134886553,output-competition counterfactuals,observed
1200,2018,0.0034762232105949526,output-competition counterfactuals,observed
1200,2019,0.0016748600473997582,output-competition counterfactuals,observed
1311,2011,0.022037342925487865,output-competition counterfactuals,observed
1311,2012,0.01918725209292507,output-competition counterfactuals,observed
1311,2013,0.003375461991075067,output-competition counterfactuals,observed
1311,2014,0.007112937332892929,output-competition counterfactuals,observed
1311,2015,0.007226991124657314,output-competition counterfactuals,observed
1311,2016,0.013206115812364989,output-competition counterfactuals,observed
1311,2017,0.02097350397871486,output-competition counterfactuals,observed
1311,2018,0.015538582144331256,output-competition counterfactuals,observed
1311,2019,0.020714079184462157,output-competition counterfactuals,observed
1312,2011,0.02625224744700789,output-competition counterfactuals,observed
1312,2012,0.03253399809581891,output-competition counterfactuals,observed
1312,2013,0.019672373288938453,output-competition counterfactuals,observed
1312,2014,0.02812978139566137,output-competition counterfactuals,observed
1312,2015,0.018107263488572767,output-competition counterfactuals,observed
1312,2016,0.04408064463862674,output-competition counterfactuals,observed
1312,2017,0.03958974300340948,output-competition counterfactuals,observed
1312,2018,0.027393506393747626,output-competition counterfactuals,observed
1312,2019,0.06036301668363295,output-competition counterfactuals,observed
1313,2011,0.028610624042014705,output-competition counterfactuals,observed
1313,2012,0.013979927368490179,output-competition counterfactuals,observed
1313,2013,0.01874219489320917,output-competition counterfactuals,observed
1313,2014,0.02028024483196339,output-competition counterfactuals,observed
1313,2015,0.01696581537510965,output-competition counterfactuals,observed
1313,2016,0.04121233617278901,output-competition counterfactuals,observed
1313,2017,0.04553965099624141,output-competition counterfactuals,observed
1313,2018,0.04444920448634947,output-competition counterfactuals,observed
1313,2019,0.06442948151828465,output-competition counterfactuals,observed
1391,2011,0.0246770171192456,output-competition counterfactuals,observed
