year,within_sector,between_sector,d_inv_mu_m,counterfactual_label,scenario
2011,0.0,0.0,0.0,output-competition counterfactuals,observed
2012,-0.049702468927067464,0.017366981669902425,-0.032335487257165035,output-competition counterfactuals,observed
2013,0.031868687930718585,0.02625406436628191,0.05812275229700049,output-competition counterfactuals,observed
2014,0.004167550498562836,-0.023027055331276417,-0.01885950483271358,output-competition counterfactuals,observed
2015,-0.0012496167742730292,-0.003938302610114047,-0.005187919384387077,output-competition counterfactuals,observed
2016,-0.0058733059360044975,-0.0055397632014070886,-0.011413069137411587,output-competition counterfactuals,observed
2017,-0.0066348225982237295,-0.003146175328102908,-0.009780997926326637,output-competition counterfactuals,observed
2018,-0.04558126734039989,0.015477970194076702,-0.03010329714632319,output-competition counterfactuals,observed
2019,0.01722344201441784,-0.0035733782944237604,0.01365006371999408,output-competition counterfactuals,observed
2011,0.0,0.0,0.0,output-competition counterfactuals,no_output
2012,-0.04961356938513134,0.01737235331184394,-0.0322412160732874,output-competition counterfactuals,no_output
2013,0.023010920629705424,0.02487067166011168,0.0478815922898171,output-competition counterfactuals,no_output
2014,0.009253444521527597,-0.020339278662905882,-0.011085834141378285,output-competition counterfactuals,no_output
2015,-0.0012863145002492589,-0.004935317104836329,-0.006221631605085588,output-competition counterfactuals,no_output
2016,-0.0004647849441638995,-0.003917407254490753,-0.004382192198654652,output-competition counterfactuals,no_output
2017,-0.0071833610288259495,-0.003191013147582586,-0.010374374176408536,output-competition counterfactuals,no_output
2018,-0.047706692196512177,0.01629506619388104,-0.031411626002631136,output-competition counterfactuals,no_output
2019,0.01493492192932888,-0.0037165326152069204,0.01121838931412196,output-competition counterfactuals,no_output
