moment,kind,value,se,nobs,nclusters,first_stage_f,outcome,treatment,instrument,controls,fe,cluster_level,years,n_obs,n_firms,n_sectors,dropped_observations,timing_convention,notes,source,role,moment_group
baseline_iv_dln_mu,iv,-0.42866384933221285,0.2429369532292093,31375.0,90.0,22.930355879621494,dln_mu,change_IP,output_IV,Z_input|l_age|l_leverage|l_lnSize|l_liquidity_ratio_x_|ls_pre_filled|ls_pre_x_post2016,isic4|year,isic4,2011-2019,31375.0,14612.0,112.0,24568.0,Outcome and shocks at t.,Baseline firm-level IV retained as in thesis-aligned notebook definition.,data,causal_core,causal_core
selection_corrected_iv_dln_mu,iv,-0.42673240154316866,0.24224556820632445,31282.0,89.0,22.924041055547463,dln_mu,change_IP,output_IV_resid,Z_input|l_age|l_leverage|l_lnSize|l_liquidity_ratio_x_|ls_pre_filled|ls_pre_x_post2016,isic4|year,isic4,2011-2019,31282.0,13062.0,112.0,14014.0,Outcome and shocks at t; residualized output IV selection correction.,Selection-corrected robustness specification with residualized output competition.,data,other_diagnostic,other_diagnostic
concentration_interaction_iv,iv,-20.090248714405764,100.75092447248127,31375.0,90.0,24.995045748799132,,,,,,,,,,,,,,data,other_diagnostic,other_diagnostic
mean_dln_mu,mean,0.001081634545698762,,45296.0,,,,,,,,,,,,,,,,data,other_diagnostic,other_diagnostic
var_dln_mu,variance,0.029468590393662453,,45296.0,,,,,,,,,,,,,,,,data,other_diagnostic,other_diagnostic
sector_inverse_markup_iv,iv,0.12750310562267891,0.19129975182999168,560.0,90.0,27.760101626556757,d_inv_mu_j,change_IP,output_IV,Z_input|ls_pre_filled|ls_pre_x_post2016|n_firms,isic4|year,isic4,2011-2019,560.0,,112.0,382.0,Sector inverse markup change from t-1 to t on shocks at t.,Sector-level inverse-markup IV moment.,data,causal_core,causal_core
grouped_iv_q75,iv,-0.3972377678127894,0.10199777034138441,564.0,90.0,32.706486410176765,q75_dln_mu,change_IP,output_IV,Z_input|ls_pre_filled|ls_pre_x_post2016|n_firms,isic4|year,isic4,2011-2019,564.0,,112.0,378.0,Sector-year grouped moments at t.,Tail grouped-IV moment preserved from current working definition.,data,other_diagnostic,other_diagnostic
grouped_iv_q80,iv,-0.8034009476073674,0.253265500242958,564.0,90.0,32.706486410176765,q80_dln_mu,change_IP,output_IV,Z_input|ls_pre_filled|ls_pre_x_post2016|n_firms,isic4|year,isic4,2011-2019,564.0,,112.0,378.0,Sector-year grouped moments at t.,Tail grouped-IV moment preserved from current working definition.,data,causal_core,causal_core
grouped_iv_q85,iv,-1.2360753966037654,0.4609199803121985,564.0,90.0,32.706486410176765,q85_dln_mu,change_IP,output_IV,Z_input|ls_pre_filled|ls_pre_x_post2016|n_firms,isic4|year,isic4,2011-2019,564.0,,112.0,378.0,Sector-year grouped moments at t.,Tail grouped-IV moment preserved from current working definition.,data,causal_core,causal_core
grouped_iv_q90,iv,-1.6249768143285848,0.6279658759754445,564.0,90.0,32.706486410176765,q90_dln_mu,change_IP,output_IV,Z_input|ls_pre_filled|ls_pre_x_post2016|n_firms,isic4|year,isic4,2011-2019,564.0,,112.0,378.0,Sector-year grouped moments at t.,Tail grouped-IV moment preserved from current working definition.,data,causal_core,causal_core
grouped_iv_q90_cr4_interaction,iv,-5.371186749003071,2.327083442497131,564.0,90.0,32.334732253094096,q90_dln_mu,change_IP x centered CR4_dom,output_IV x centered CR4_dom,Z_input|ls_pre_filled|ls_pre_x_post2016|n_firms|CR4_c,isic4|year,isic4,2011-2019,564.0,,112.0,378.0,Sector-year grouped tail moment at t.,Causal output-competition heterogeneity moment; CR4_dom reconstructed from firm sales shares when absent in data_ready_mec.dta.,data,causal_core,causal_core
within_decomp_abs_share,decomp_share,0.48746081795085977,,,,,gross_absolute_component_share,n/a,n/a,,,,2011-2019,1081.0,,123.0,0.0,Component contributions from t-1 to t; years in decomposition_exclude_years dropped.,Midpoint decomposition with absolute-mass normalization and sector domestic-sales weighting.,data,accounting_diagnostic,accounting_diagnostic
between_decomp_abs_share,decomp_share,0.494254923170244,,,,,gross_absolute_component_share,n/a,n/a,,,,2011-2019,1081.0,,123.0,0.0,Component contributions from t-1 to t; years in decomposition_exclude_years dropped.,Midpoint decomposition with absolute-mass normalization and sector domestic-sales weighting.,data,accounting_diagnostic,accounting_diagnostic
entry_decomp_abs_share,decomp_share,0.009047466831936742,,,,,gross_absolute_component_share,n/a,n/a,,,,2011-2019,1081.0,,123.0,0.0,Component contributions from t-1 to t; years in decomposition_exclude_years dropped.,Midpoint decomposition with absolute-mass normalization and sector domestic-sales weighting.,data,accounting_diagnostic,accounting_diagnostic
exit_decomp_abs_share,decomp_share,0.009236792046959437,,,,,gross_absolute_component_share,n/a,n/a,,,,2011-2019,1081.0,,123.0,0.0,Component contributions from t-1 to t; years in decomposition_exclude_years dropped.,Midpoint decomposition with absolute-mass normalization and sector domestic-sales weighting.,data,accounting_diagnostic,accounting_diagnostic
decomp_total_output_iv,iv,0.2812342284977599,0.4530291322965109,616.0,96.0,33.930798700776144,d_inv_mu_j_components,change_IP,output_IV,ls_pre_filled|ls_pre_x_post2016,isic4|year,isic4,2011-2019,616.0,,123.0,465.0,Decomposition component from t-1 to t on shocks at t.,Sector-level decomposition IV diagnostic.,data,accounting_diagnostic,accounting_diagnostic
decomp_within_output_iv,iv,0.062374799295144084,0.18065357881675798,616.0,96.0,33.930798700776144,within_inv_mu,change_IP,output_IV,ls_pre_filled|ls_pre_x_post2016,isic4|year,isic4,2011-2019,616.0,,123.0,465.0,Decomposition component from t-1 to t on shocks at t.,Sector-level decomposition IV diagnostic.,data,accounting_diagnostic,accounting_diagnostic
decomp_reallocation_output_iv,iv,0.09250690955483702,0.8570116390167908,616.0,96.0,33.930798700776144,between_inv_mu,change_IP,output_IV,ls_pre_filled|ls_pre_x_post2016,isic4|year,isic4,2011-2019,616.0,,123.0,465.0,Decomposition component from t-1 to t on shocks at t.,Sector-level decomposition IV diagnostic.,data,accounting_diagnostic,accounting_diagnostic
input_shock_between_reallocation,iv,8.054783010058129,3.3812767836314777,612.0,95.0,33.93299544177388,between_inv_mu,Z_input,output_IV (for change_IP); Z_input self-instrumented as exogenous regressor,ls_pre_filled|ls_pre_x_post2016,isic4|year,isic4,2011-2019,612.0,,123.0,469.0,Between/reallocation component from t-1 to t; excluded years dropped.,"Stata-aligned IV specification for decomposition Panel A control coefficient on Z_input. Z_input coefficient from IV/FWL specification; treated as exogenous control/self-instrumented; mechanism diagnostic, not excluded-IV causal moment.",data,correlated_input_diagnostic,correlated_input_diagnostic
input_shock_within_dln_mu,ols,0.1421670104391494,0.38547243544258997,40398.0,92.0,,,,,,,,,,,,,,,data,correlated_input_diagnostic,correlated_input_diagnostic
exit_rate,mean,0.06937418443773126,,55943.0,,,,,,,,,,,,,,,,data,selection_diagnostic,selection_diagnostic
exit_iv,iv,0.9599637899975498,0.512041186530054,27972.0,89.0,30.324121213646922,exit_forward,change_IP,output_IV_resid,Z_input|ls_pre_filled|ls_pre_x_post2016,isic4|year,isic4,2011-2018,27972.0,12204.0,111.0,11500.0,Exit at t+1 (forward-shifted) on shocks at t; terminal year excluded.,Using F.exit (forward-shifted exit at t+1) for forward-looking exit IV moment.,data,selection_diagnostic,selection_diagnostic
