moment,kind,value,se,nobs,nclusters,first_stage_f,outcome,treatment,instrument,controls,fe,cluster_level,years,n_obs,n_firms,n_sectors,dropped_observations,timing_convention,notes,source,role,moment_group
baseline_iv_dln_mu,iv,-0.44060201659813447,0.11300759814560714,38494.0,90.0,28.805643743097495,dln_mu_model,change_IP,output_IV,Z_input|l_age|l_leverage|l_lnSize|l_liquidity_ratio_x_|ls_pre_filled|ls_pre_x_post2016,isic4|year,isic4,2011-2019,38494.0,14612.0,112.0,17449.0,Outcome and shocks at t.,Baseline firm-level IV retained as in thesis-aligned notebook definition.,model,causal_core,causal_core
selection_corrected_iv_dln_mu,iv,-0.4360621724701665,0.11274362513479924,38372.0,89.0,28.800035714118636,dln_mu_model,change_IP,output_IV_resid,Z_input|l_age|l_leverage|l_lnSize|l_liquidity_ratio_x_|ls_pre_filled|ls_pre_x_post2016,isic4|year,isic4,2011-2019,38372.0,14612.0,112.0,17571.0,Outcome and shocks at t; residualized output IV selection correction.,Selection-corrected robustness specification with residualized output competition.,model,other_diagnostic,other_diagnostic
concentration_interaction_iv,iv,-7.765805664181553,14.627271688088543,38494.0,90.0,30.915804443541084,,,,,,,,,,,,,,model,other_diagnostic,other_diagnostic
mean_dln_mu,mean,0.004966793063672542,,55943.0,,,,,,,,,,,,,,,,model,other_diagnostic,other_diagnostic
var_dln_mu,variance,0.03619598934808071,,55943.0,,,,,,,,,,,,,,,,model,other_diagnostic,other_diagnostic
sector_inverse_markup_iv,iv,0.23770905895254876,1.0835865873500978,560.0,90.0,27.760101626556757,d_inv_mu_j,change_IP,output_IV,Z_input|ls_pre_filled|ls_pre_x_post2016|n_firms,isic4|year,isic4,2011-2019,560.0,,112.0,382.0,Sector inverse markup change from t-1 to t on shocks at t.,Sector-level inverse-markup IV moment.,model,causal_core,causal_core
grouped_iv_q75,iv,-0.6563732482879507,0.25051383456051074,564.0,90.0,32.706486410176765,q75_dln_mu_model,change_IP,output_IV,Z_input|ls_pre_filled|ls_pre_x_post2016|n_firms,isic4|year,isic4,2011-2019,564.0,,112.0,378.0,Sector-year grouped moments at t.,Tail grouped-IV moment preserved from current working definition.,model,other_diagnostic,other_diagnostic
grouped_iv_q80,iv,-0.8026008952736048,0.4863344782089949,564.0,90.0,32.706486410176765,q80_dln_mu_model,change_IP,output_IV,Z_input|ls_pre_filled|ls_pre_x_post2016|n_firms,isic4|year,isic4,2011-2019,564.0,,112.0,378.0,Sector-year grouped moments at t.,Tail grouped-IV moment preserved from current working definition.,model,causal_core,causal_core
grouped_iv_q85,iv,-0.941779125715624,0.7206562146753773,564.0,90.0,32.706486410176765,q85_dln_mu_model,change_IP,output_IV,Z_input|ls_pre_filled|ls_pre_x_post2016|n_firms,isic4|year,isic4,2011-2019,564.0,,112.0,378.0,Sector-year grouped moments at t.,Tail grouped-IV moment preserved from current working definition.,model,causal_core,causal_core
grouped_iv_q90,iv,-1.7710333248458021,0.679554594807632,564.0,90.0,32.706486410176765,q90_dln_mu_model,change_IP,output_IV,Z_input|ls_pre_filled|ls_pre_x_post2016|n_firms,isic4|year,isic4,2011-2019,564.0,,112.0,378.0,Sector-year grouped moments at t.,Tail grouped-IV moment preserved from current working definition.,model,causal_core,causal_core
grouped_iv_q90_cr4_interaction,iv,-5.0419534810117135,3.240862414918154,564.0,90.0,32.94815550174611,q90_dln_mu_model,change_IP x centered CR4_dom,output_IV x centered CR4_dom,Z_input|ls_pre_filled|ls_pre_x_post2016|n_firms|CR4_c,isic4|year,isic4,2011-2019,564.0,,112.0,378.0,Sector-year grouped tail moment at t.,Causal output-competition heterogeneity moment; CR4_dom reconstructed from firm sales shares when absent in data_ready_mec.dta.,model,causal_core,causal_core
within_decomp_abs_share,decomp_share,0.10680686174153961,,,,,gross_absolute_component_share,n/a,n/a,,,,2011-2019,942.0,,112.0,0.0,Component contributions from t-1 to t; years in decomposition_exclude_years dropped.,Midpoint decomposition with absolute-mass normalization and sector domestic-sales weighting.,model,accounting_diagnostic,accounting_diagnostic
between_decomp_abs_share,decomp_share,0.23120917746694108,,,,,gross_absolute_component_share,n/a,n/a,,,,2011-2019,942.0,,112.0,0.0,Component contributions from t-1 to t; years in decomposition_exclude_years dropped.,Midpoint decomposition with absolute-mass normalization and sector domestic-sales weighting.,model,accounting_diagnostic,accounting_diagnostic
entry_decomp_abs_share,decomp_share,0.3254919355756614,,,,,gross_absolute_component_share,n/a,n/a,,,,2011-2019,942.0,,112.0,0.0,Component contributions from t-1 to t; years in decomposition_exclude_years dropped.,Midpoint decomposition with absolute-mass normalization and sector domestic-sales weighting.,model,accounting_diagnostic,accounting_diagnostic
exit_decomp_abs_share,decomp_share,0.3364920252158579,,,,,gross_absolute_component_share,n/a,n/a,,,,2011-2019,942.0,,112.0,0.0,Component contributions from t-1 to t; years in decomposition_exclude_years dropped.,Midpoint decomposition with absolute-mass normalization and sector domestic-sales weighting.,model,accounting_diagnostic,accounting_diagnostic
decomp_total_output_iv,iv,-0.022973920349732516,1.0619303456924016,564.0,90.0,34.89925303320433,d_inv_mu_j_components,change_IP,output_IV,ls_pre_filled|ls_pre_x_post2016,isic4|year,isic4,2011-2019,564.0,,112.0,378.0,Decomposition component from t-1 to t on shocks at t.,Sector-level decomposition IV diagnostic.,model,accounting_diagnostic,accounting_diagnostic
decomp_within_output_iv,iv,0.5655228609731023,1.0561090521841245,564.0,90.0,34.89925303320433,within_inv_mu,change_IP,output_IV,ls_pre_filled|ls_pre_x_post2016,isic4|year,isic4,2011-2019,564.0,,112.0,378.0,Decomposition component from t-1 to t on shocks at t.,Sector-level decomposition IV diagnostic.,model,accounting_diagnostic,accounting_diagnostic
decomp_reallocation_output_iv,iv,-0.14629949790786295,0.8999109259029016,564.0,90.0,34.89925303320433,between_inv_mu,change_IP,output_IV,ls_pre_filled|ls_pre_x_post2016,isic4|year,isic4,2011-2019,564.0,,112.0,378.0,Decomposition component from t-1 to t on shocks at t.,Sector-level decomposition IV diagnostic.,model,accounting_diagnostic,accounting_diagnostic
input_shock_between_reallocation,iv,3.744361901201609,2.9904147864207533,560.0,89.0,34.916378744062285,between_inv_mu,Z_input,output_IV (for change_IP); Z_input self-instrumented as exogenous regressor,ls_pre_filled|ls_pre_x_post2016,isic4|year,isic4,2011-2019,560.0,,112.0,382.0,Between/reallocation component from t-1 to t; excluded years dropped.,"Stata-aligned IV specification for decomposition Panel A control coefficient on Z_input. Z_input coefficient from IV/FWL specification; treated as exogenous control/self-instrumented; mechanism diagnostic, not excluded-IV causal moment.",model,correlated_input_diagnostic,correlated_input_diagnostic
input_shock_within_dln_mu,ols,-0.30632451623001455,0.2337861742517335,49865.0,92.0,,,,,,,,,,,,,,,model,correlated_input_diagnostic,correlated_input_diagnostic
exit_rate,mean,0.09112296101485613,,55943.0,,,,,,,,,,,,,,,,model,selection_diagnostic,selection_diagnostic
