year,ppi,isic4,output_IV,Z_input,apparent_consumption,change_IP,ls_pre_filled,post2016,HHI_dom,inv_mu_j,mu_j,ln_mu_j,d_inv_mu_j,d_ln_mu_j,n_firms,dom_j,within_inv_mu,between_inv_mu,entry_inv_mu,exit_inv_mu,neg_exit_inv_mu,decomp_total_j,decomp_gap_j,dom_M,S_j,L_S_j,dS_j,S_bar_j,inv_mu_bar_j,ln_mu_lag_j,dln_dom_j,inv_mu_M,mu_M,ln_mu_M,d_inv_mu_M,d_ln_mu_M,c_mfg_total_invmu,c_mfg_within_firm,c_mfg_between_firm,c_mfg_entry,c_mfg_exit,c_mfg_between_sector,c_mfg_decomp_sum,c_mfg_decomp_gap,c_BF_AE_mu,valid_sector_bfs,w_sector_valid,wden_sector,wS_bfs,mean_lnmu_sec,mean_dlny_sec,bfs_sector_cov_contrib,bfs_firm_cov_contrib,bfs_firm_within_sector_cov
2009,162.96584,1010,,,,,.50956881,0,.092477076,.5749236062603186,1.739361524054749,.5535181056889893,,,18,454300756.875,0,0,0,0,0,0,,34904789517.3689,.013015427485931,,,,,,,.8127624998933359,1.230371726219205,.2073163401645151,,,,,,,,,,,,0,,0,,0,0,,0,0
2010,192.2825,1010,,,,,.50956881,0,.16034503,.8330101751283083,1.2004655283424,.1827094218499113,.2580865688679898,-.3708086838390779,24,467657044.796875,.0185867417339081,.1746113672014703,.0823324410968209,.0174439811642097,-.0174439811642097,.2580865688679896,1.11022302463e-16,48994087580.95415,.0095451730583645,.013015427485931,-.0034702544275665,.0112803002721478,.7039668906943135,.5535181056889893,.028975778229249,.8125128630104157,1.230749746280855,.2076235335061251,-.0002496368829202,.0003071933416099,.0004683497737471,.0002096640278393,.0019696686529628,.0009287346577111,-.000196773345474,-.0024429442192922,.0004683497737471,2.16840434497e-18,.004826233535661,1,.013015427485931,1,.013015427485931,.2139134222127216,.2423887504265057,-.0009433067065087,-9.93645296647e-06,.000033592925155
2011,201.26167,1010,-.000051945008,.0000992702657525,7526603.5,,.50956881,0,.13990577,.8701384139151194,1.14924244695804,.1391029835338462,.037128238786811,-.0436064383160651,32,540556645.1328125,.0233700974137321,-.0871528370901387,.4471009237218543,.3461899452586367,-.3461899452586367,.037128238786811,5.55111512313e-17,52720547971.2946,.0102532440563238,.0095451730583645,.0007080709979593,.0098992085573442,.8515742945217138,.1827094218499113,.1448642159259173,.7957488835954395,1.256677854804761,.2284716157798389,-.0167639794149762,.0208480822737139,.000970515239676,.000231345468304,-.0008627441107195,.0044259452901039,-.0034270064685708,.0006029750605585,.000970515239676,7.58941520740e-19,.0004162310001857,1,.0095451730583645,.9999679462905113,.0095454790263762,.2140537083613425,-.0447624509821984,-.00005673558375,5.06357487774e-06,-5.08374905384e-06
2012,224.49249,1010,.000037762056,-1.82073472857e-06,8062849.5,-.00025143847,.50956881,0,.12429538,.8645071396713342,1.15672844573635,.1455957151637635,-.0056312742437852,.0064927316299174,34,655645236.671875,-.0039419099184307,-.0870978926966114,.2060105746468084,.1206020462755512,-.1206020462755512,-.005631274243785,-2.22044604925e-16,48138250426.83725,.013620047069811,.0102532440563238,.0033668030134872,.0119366455630674,.8673227767932268,.1391029835338462,.1930204119601626,.8230434608768082,1.215002666972988,.1947462718295989,.0272945772813687,-.0337253439502401,.002852886413857,-.0000470531815378,-.0010396566744095,.0024590752118028,-.0014395838805719,.0029201049385735,.002852886413857,-2.60208521397e-18,-.0000665715619938,1,.0102532440563238,.9999999999999999,.0102532440563238,.2456764570343572,-.2119017941355933,-.0004424681454077,-.0001432239266318,.0000267465106427
2013,238.495,1010,-.000020820778,-.0000985948897565,8147078.5,.000013901961,.50956881,0,.17388798,.8719439029718415,1.146862770175588,.1370301885968243,.0074367633005074,-.0085655265669393,31,416806578.46875,.0090592589326177,.1808898945187227,.0699529436751661,.2524653338259992,-.2524653338259992,.0074367633005072,1.11022302463e-16,38495355544.19742,.0108274510671867,.013620047069811,-.0027925960026244,.0122237490684988,.8682255213215879,.1455957151637635,-.4529975713149952,.8204841007790834,1.218792660394588,.1978607461180024,-.0025593600977248,.0031144742884035,-.0023336979917519,.0001107381079389,.0022111526796241,.0008550872300881,-.0030860728891838,-.0024246031202191,-.0023336979917519,8.67361737988e-19,.0001166628750194,1,.013620047069811,.9999710684385569,.0136204411304405,.2005205586575264,-.33708992349744,.0000867105805762,.0000449078338925,.0000393212052316
2014,274.37833,1010,-.000026832036,.0001223499649314,8082363,.000018674378,.50956881,0,.12826723,.8486079320197174,1.178400486570947,.1641579990743338,-.0233359709521241,.0271278104775095,34,535848498.203125,.0106782939697469,-.1458881911387874,.1158209010620053,.0039469748450892,-.0039469748450892,-.0233359709521244,2.63677968348e-16,43193072503.97827,.0124058898137837,.0108274510671867,.001578438746597,.0116166704404852,.8602759174957795,.1370301885968243,.2512291949219581,.8274373802738019,1.208550669621786,.1894218479794279,.0069532794947185,-.0084388981385745,.0010868065569801,.0001240462219132,-.0016947350376178,.0013454532377574,-.0000458507060123,.0013578928409397,.0010868065569801,2.81892564846e-18,-.0002937250405051,1,.0108274510671867,1,.0108274510671866,.2018425284670537,.0487115498836623,-.0001421172512438,-.0000666392981049,-.0000175091581432
2015,291.05084,1010,-.00003126033,.0000372025390005,7142118.5,-.000039051556,.50956881,0,.14569837,.845116396885379,1.183268959974548,.1682809133179714,-.0034915351343384,.0041229142436376,31,531520594.53125,-.028856286150827,.0439387180702333,.0287635552359269,.0473375222896715,-.0473375222896715,-.0034915351343383,-1.31838984174e-16,37598970672.26463,.0141365730238816,.0124058898137837,.0017306832100979,.0132712314188326,.8468621644525482,.1641579990743338,-.0081095235374491,.7305283574578674,1.368872254979745,.3139872293006585,-.0969090228159345,.1245653813212307,.0014193131585104,-.0003829584513957,.0005831208957569,.0003817277979644,-.0006282272131004,.0014656501292852,.0014193131585104,-1.73472347598e-18,-.0000511484198182,1,.0124058898137837,1,.0124058898137837,.1942880597131819,-.1772452845594487,-.0000632212920315,-.0002610881162589,-.0000997947728607
2016,308.12833,1010,-.000022927674,.0000186859766913,6973377,.000021378431,.50956881,1,.16037039,.6227797931873404,1.605703991907115,.4735622846556797,-.2223366036980385,.3052813713377083,32,412427515.859375,-.0019026741968519,.1421209458743428,.0563055865612218,.4188604619367513,-.4188604619367513,-.2223366036980386,8.32667268469e-17,35308734262.97771,.0116806089050838,.0141365730238816,-.0024559641187978,.0129085909644827,.7339480950363597,.1682809133179714,-.25368147376793,.71100448297842,1.406460892920068,.3410765440251872,-.0195238744794474,.0270893147245286,-.0046726024600395,-.0000245608429458,.0018345811577773,.0007268257859341,-.0054068983743358,-.0018025501864693,-.0046726024600395,1.73472347598e-18,-.0043156323987462,1,.0141365730238816,.999884768658954,.0141382021878796,.3413568653443097,-.1350208142320806,.000290360593349,-.0001542431936358,-.0000100490920338
2017,346.35583,1010,.00001656906,-.0000257519553486,7255778,-.000014502842,.50956881,1,.29297942,.7593552843793573,1.316906618773752,.2752855157474922,.1365754911920168,-.1982767689081875,36,454183459.7368164,.0156786084559794,.1033923125356734,.0239681463209252,.0064635761205611,-.0064635761205611,.1365754911920168,0,33110351575.41279,.0137172647865837,.0116806089050838,.0020366558814999,.0126989368458338,.6910675387833489,.4735622846556797,.0964407415474788,.6964436494116977,1.435866348763067,.3617683944025606,-.0145608335667223,.0206918503773735,.0031418303047129,.000199101658613,.0013129724472352,.0003043699764411,-.0000820805449532,.0014074667673768,.0031418303047129,0,.0023159933925802,1,.0116806089050838,.9999969061919777,.0116806450427571,.3641137588137997,-.1394129161899887,.0003015222456236,.0005705610655125,.0006569352449424
2018,380.57501,1010,.000014056211,-.0000146679471698,6774740.5,-8.0859081e-06,.50956881,1,.21921261,.8625341961855827,1.159374323270124,.1478804831111734,.1031789118062254,-.1274050326363189,36,355014291.0820313,.0911347756016049,-.1110373213469196,.1886555112286229,.065574053677083,-.065574053677083,.1031789118062252,2.22044604925e-16,22593021692.82323,.0157134488652664,.0137172647865837,.0019961840786826,.014715356825925,.81094474028247,.2752855157474922,-.2463431675187699,.6855391816725854,1.458705828542418,.377549623812213,-.0109044677391122,.0157812294096523,.0031371094833826,.0013410807422282,-.0016339538046148,.0027761331649065,-.0009649455983806,.0016187949792433,.0031371094833825,3.46944695195e-18,.0017476485678157,1,.0137172647865837,.9998832927146301,.0137188658781787,.3763055049511462,-.5052536225365065,-.0003588187392995,.0001978538631927,-8.71112726861e-07
2019,442.18417,1010,7.2952537e-07,.0000988163690252,6490308,.000016720431,.50956881,1,.14016813,.8102667089633286,1.234161528466867,.2103918151881322,-.052267487222254,.0625113320769588,33,222970285.7727051,-.006157026768867,-.0517012115723268,.0463827166456784,.0407919655267385,-.0407919655267385,-.0522674872222539,-1.45716771982e-16,19451951218.6379,.0114626179793761,.0157134488652664,-.0042508308858903,.0135880334223212,.8364004525744557,.1478804831111734,-.4651195303084137,.708845050759099,1.410745548592184,.3441183225136916,.0233058690865136,-.0334313012985213,-.0042656092400528,-.0000836618855175,-.0007025177908193,.0006302499039995,-.0005542825909395,-.0035553968767761,-.0042656092400528,-2.60208521397e-18,-.000982268620091,1,.0157134488652664,1,.0157134488652664,.3927693494369202,-.204022684625251,.0010047133720393,.0013540880142858,.0006046255162859
2020,475.71085,1010,,,,,.50956881,1,.14518976,.8389359828480101,1.191986063829581,.1756208771566757,.0286692738846814,-.0347709380314565,33,211331350.668541,.0385734870378141,-.1858549709178365,.2266544902242487,.0507037324595448,-.0507037324595448,.0286692738846815,-1.11022302463e-16,15269459372.46808,.0138401331385436,.0114626179793761,.0023775151591675,.0126513755589598,.8246013459056694,.2103918151881322,-.0536112308953243,.6914015408144923,1.446337534657457,.3690345229542955,-.0174435099446066,.0249162004406038,.0023232079510785,.0004880076711341,-.0023513210365811,.0028674910779516,-.0006414719615867,.0019605022001607,.0023232079510785,-1.30104260698e-18,.0003985659794391,1,.0114626179793761,.9999870816574683,.0114627660593144,.3671576882058946,-.3166795987238156,-.0004727261039649,.0001806777362969,.000045602521247
2021,700.66833,1010,,,,,.50956881,1,.14721821,.7629277033905447,1.310740186200969,.2705920052793777,-.0760082794574654,.094971128122702,25,81645250.93359375,-.3957125396963719,.5350902145645816,0,.2153859543256753,-.2153859543256753,-.0760082794574655,1.66533453694e-16,9779432450.833601,.0083486696537931,.0138401331385436,-.0054914634847505,.0110944013961683,.8009318431192773,.1756208771566757,-.9510436300092948,.6948166726812274,1.439228561026178,.3641072485282721,.003415131866735,-.0049272744260234,-.0052415543319967,-.0043901937528888,.0059365056235413,0,-.0023895782323858,-.0043982879702635,-.0052415543319967,8.67361737988e-19,-.0013144130575359,1,.0138401331385436,.9999828337999823,.0138403707251158,.3950086314813087,-.5748877713746393,.0011421626028859,.0004769174239742,.0002845594066676
