variant_id,variant_name,treat_year,treated_unit,treated_isic4,treated_pre_rmspe,treated_post_rmspe,treated_rmspe_ratio,treated_avg_post_gap,treated_n_donors,n_placebos,n_ratio_ge,n_avg_gap_ge,p_rmspe_ratio,p_avg_gap_pos,positive_post_gap,robust_rank,recommended_robust
1,single_T2015_base_full,2015,92,2790,.0169815139318608,.0527947261133044,3.108952848676859,.0222305148477143,34,34,0,2,.0285714285714286,.0857142857142857,1,1,1
9,aggregate_T2015_base_full,2015,999999,9990,.0329306409587055,.0491429885221777,1.492318008137231,-.0015693182421361,34,34,8,31,.2571428571428571,.9142857142857143,0,2,0
10,aggregate_T2015_base_ylags,2015,999999,9990,.0327909474721259,.0485582297215703,1.480842533228033,-.0016582639493634,34,34,18,32,.5428571428571428,.9428571428571428,0,3,0
2,single_T2015_base_ylags,2015,92,2790,.0318890454372568,.0468802998935372,1.470106716921847,-.0003222757800337,34,34,21,30,.6285714285714286,.8857142857142857,0,4,0
13,aggregate_T2016_base_full,2016,999999,9990,.0323178536278459,.0482856594518589,1.494086210300016,-.0015990790439648,34,34,21,31,.6285714285714286,.9142857142857143,0,5,0
5,single_T2016_base_full,2016,92,2790,.0331299731692843,.0479129829098832,1.446212547926378,-.0012914558112081,34,34,24,29,.7142857142857143,.8571428571428571,0,6,0
14,aggregate_T2016_base_ylags,2016,999999,9990,.0323170820933434,.0482722426570456,1.493706718868304,-.0017590270989549,34,34,24,32,.7142857142857143,.9428571428571428,0,7,0
6,single_T2016_base_ylags,2016,92,2790,.032920943264107,.0482087237484409,1.464378567821957,-.0014289119003802,34,34,26,32,.7714285714285715,.9428571428571428,0,8,0
16,aggregate_T2016_narrow_ylags,2016,999999,9990,.0320879231389664,.0486399655530737,1.515834020868964,-.0016602046950175,7,7,7,6,1,.875,0,9,0
12,aggregate_T2015_narrow_ylags,2015,999999,9990,.032523175036844,.0484038767429992,1.48828878755425,-.0015892869045565,7,7,7,6,1,.875,0,10,0
8,single_T2016_narrow_ylags,2016,92,2790,.033348536319631,.0491568899001607,1.474034405258858,-.0015425160045633,7,7,7,6,1,.875,0,11,0
4,single_T2015_narrow_ylags,2015,92,2790,.0338085614475789,.0478915855283345,1.416552005698075,-.0015808175213867,7,7,7,6,1,.875,0,12,0
15,aggregate_T2016_narrow_full,2016,999999,9990,.0322741544557056,.048281640039025,1.495984661822473,-.0018185832303463,7,7,7,7,1,1,0,13,0
11,aggregate_T2015_narrow_full,2015,999999,9990,.0327042808552037,.048180302024627,1.47321086918078,-.0016934201524348,7,7,7,7,1,1,0,14,0
7,single_T2016_narrow_full,2016,92,2790,.0333902210584767,.0484007777110696,1.449549484153002,-.0018128600318712,7,7,7,7,1,1,0,15,0
3,single_T2015_narrow_full,2015,92,2790,.0337290201631636,.0469572387011098,1.392191011596391,-.0016651740368474,7,7,7,7,1,1,0,16,0
