"type","file","parent_exists","package_exists","identical","parent_sha256","package_sha256"
"figure","fig_china_ip_context_trimmed.png","True","True","True","B367638E7F4C819343DD2D3F30A3DA4C5FAB57FFD41681830CC07D9913572EE9","B367638E7F4C819343DD2D3F30A3DA4C5FAB57FFD41681830CC07D9913572EE9"
"figure","lorenz_domestic_sales_2011.pdf","True","True","True","A6AA6C323EA488495F09FEB299E53196D846BA3A721C01ECF195F60510B07893","A6AA6C323EA488495F09FEB299E53196D846BA3A721C01ECF195F60510B07893"
"figure","scatter_CR4_pre_china_exposure.png","True","True","True","ACCBA799892176270AA7E90B0A8AB1208E899216687976B9DA895ADCB9E78F20","ACCBA799892176270AA7E90B0A8AB1208E899216687976B9DA895ADCB9E78F20"
"figure","fig_rotemberg_sector_size.pdf","True","True","True","F523E69C5AE7D3A75646F68CB3D106FD7B3B4B94E0934DB51F86DE184E4194D4","F523E69C5AE7D3A75646F68CB3D106FD7B3B4B94E0934DB51F86DE184E4194D4"
"figure","iv_quantile_journal.png","True","True","False","91AD41DFF024CA18D767ED197F5133F43F5D8AA461294B7457093128788F5952","C1D82C53AF3889B591E0B49CC54FC6E368FE34D7C9E10F82C81EC634C258330E"
"figure","iv_quantile_cr4_journal.png","True","True","False","10710622462FEAE6A269B0242728B4CCDD83C7CAED2951F9B7782BD1FEAE63F4","EE82D5D8C1CEA5D30B9C2AAED3077379FF3DD2369E96986A0949C6A96D134205"
"figure","iv_quantile_cr10_journal.png","True","True","False","6365C36FAF2B96A5485929FA9A5AD293970E9F5F63024CAEC8FDB87C87856BD3","5C909307BD989264D45D4F553CE2B1DC70769F7169FB20924021557A9B7B75AF"
"figure","sector_size_distribution.jpg","True","True","True","01272534FCCF58347D86702A1569F9C3610B759820A7A02B4AF13050FD2F788E","01272534FCCF58347D86702A1569F9C3610B759820A7A02B4AF13050FD2F788E"
"figure","number_firms_over_time.jpg","True","True","True","7E2EB9D23968CD07B8CA33817AE64F89A07ED17AE90A35F914388B6DD66B7E24","7E2EB9D23968CD07B8CA33817AE64F89A07ED17AE90A35F914388B6DD66B7E24"
"figure","rob41_decquin_notitle.png","True","True","True","30E0569D69FB065FDFFA9AE3F24A20D67EA766DFA3843EC04AF6B04006CB1BB9","30E0569D69FB065FDFFA9AE3F24A20D67EA766DFA3843EC04AF6B04006CB1BB9"
"figure","rob43_thin_notitle.png","True","True","True","90D79CAFCF69CE3BDB645FD0191C0EC459DFE792A86247EA543A63CC2DBD5FFF","90D79CAFCF69CE3BDB645FD0191C0EC459DFE792A86247EA543A63CC2DBD5FFF"
"figure","scm_path_spec2.png","True","True","True","143C7CD978E0647E927830FA7AD76A69845FAAB1D37EAC30F75DEE65C3544E58","143C7CD978E0647E927830FA7AD76A69845FAAB1D37EAC30F75DEE65C3544E58"
"figure","scm_gap_spec1.png","True","True","True","E489707CF6340635D45BED9B82867746912C1D92215A70F5BE7660FFB922A234","E489707CF6340635D45BED9B82867746912C1D92215A70F5BE7660FFB922A234"
"figure","scm_gap_spec2.png","True","True","True","E6B23FDDFDF9EEEF0863B5C879439454564110D0C4CCD0521274BA2898AB3948","E6B23FDDFDF9EEEF0863B5C879439454564110D0C4CCD0521274BA2898AB3948"
"table","orbis_coverage_appendix.tex","True","True","True","C8DD1A581F50CC46FBA284234EF10B9ED9136A3AF1DAC6AEB1619AC297A1FF08","C8DD1A581F50CC46FBA284234EF10B9ED9136A3AF1DAC6AEB1619AC297A1FF08"
"table","domestic_sales_export_audit.tex","True","True","True","A8421A1DAE5C5361FE44F5B593668BA0C9E39A088D39CFE39CA69393FE1183D0","A8421A1DAE5C5361FE44F5B593668BA0C9E39A088D39CFE39CA69393FE1183D0"
"table","tab_top_rotemberg_sector_size.tex","True","True","True","DB7032FBB5CFEB2520B8CABB13D3B923C3D8E668EEFDABC1271DBFE346287ED7","DB7032FBB5CFEB2520B8CABB13D3B923C3D8E668EEFDABC1271DBFE346287ED7"
"table","iv_demand_controls.tex","True","True","False","E2DECAD0D82341F0F3F54AEA9D557C1E443C8DD7163457AF8D3A2BBCE8E5D735","DF4D5ED3E285C15F394C55A4B41E3213F5A4D4236DAC6E1B4B7258146CE264A9"
"table","pretrend_balance_outputIV.tex","True","True","False","E9876BB81FCFD9477050F611F4669296C1CF06935375A021AA3753262AE57D8A","DE0B428D0744FD44AC6172C21C486BF300952D1D74113A5719205739E8E9DF1F"
"table","rob_resid_firststage.tex","True","True","False","11ED253CE27DFE54EB26B1B9796DD18F95235421E1F1050ACBF03A190861C4D0","BD25730EFE5AE2757FBB46321B0A891B3098621CA96D409A4FAE3CC2359334B4"
"table","rob_resid_markup_main_ver21.tex","True","True","True","F75EBCCD3FCBE960911E0B574E8DA4B43FF0A082B7591FB55263FDAC700ABEB6","F75EBCCD3FCBE960911E0B574E8DA4B43FF0A082B7591FB55263FDAC700ABEB6"
"table","rob_resid_aux.tex","True","True","False","315008D947A91CD3E608E05B05BFB4EE39A8F4F1C7A3FD7400E006B94268BBD8","9FC38FDA3F8D268EBE7E9C463E6DA894E4403BFDC4DE0475AEA3D397A9E12253"
"table","rob_chn_gran_mean.tex","True","True","False","A2997A145DBEB7D8E73438D1F440508D8ABD3AF9B66946F2B8F6E0ABC48C6BFB","03749556C1B60712596F76D71257159D9779C23B428515B9185FCFB09B375444"
"table","rob_chn_gran_givq_foreign.tex","True","True","False","AAF73CE59B554CD466AE4FB3DBAE1D61EA9311A77F7385FCD1C47882CF321006","78DF4BDAFB03169AD34C2D6AAE89F695BBE43A27BDC394ECD5AE8874B1DED6D8"
